model,type,speed,Capacity (GB),Form Factor,DRAM Configuration
Samsung M386A4G40DM1-CRC 32GB,DDR4,8150,32,,
Kingston 9965589-035.D00G 16GB,DDR4,7950,16,,
Crucial Technology BLS8G4D240FSEK.8FBR 8GB,DDR4,9400,8,,
A-DATA Technology AO1P24HC8T1-BPGS 8GB,DDR4,9400,8,,
Apacer Technology GD2.11173T.001 4GB,DDR4,9200,4,,
Crucial Technology CT8G4SFS8213.C8FH1 8GB,DDR4,9150,8,,
Samsung M386A4K40BB0-CRC 32GB,DDR4,8850,32,,
Ramaxel Technology RMSA3270MB76H8F2400 2GB,DDR4,8150,2,,
Apacer Technology 78.CAGPP.ARC0B 8GB,DDR4,9800,8,,
DSL Memory D4SS12081SH21A-A 4GB,DDR4,9500,4,,
Kingston 9965690-002.A00G 8GB,DDR4,7750,8,,
Samsung M393A2G40DBD-CP1???? 16GB,DDR4,7700,16,,
Hynix Semiconductor (Hyundai Electronics) HMA851U6AFR6N-UH 4GB,DDR4,7600,4,,
Samsung M393A2K40BB2-CTD 16GB,DDR4,7150,16,,
Kingston 9965640-016.A00G 32GB,DDR4,7000,32,,
Kingston 9905665-011.A00G 4GB,DDR4,9650,4,,
Apacer Technology 78.C2GF6.AU20B 8GB,DDR4,9000,8,,
InnoDisk Corporation M4S0-4GSSNCSJ 4GB,DDR4,8850,4,,
Kingston 99U5713-003.A00G 4GB,DDR4,9600,4,,
A-DATA Technology AO1P26KC8T1-BPXS 8GB,DDR4,9350,8,,
Micron Technology TEAMGROUP-UD4-2133 16GB,DDR4,9100,16,,
Kingston 9905713-008.A00G 4GB,DDR4,8900,4,,
Samsung M393A2G40EB2-CTD 16GB,DDR4,7050,16,,
Samsung M393A2G40DB1-CRC 16GB,DDR4,7000,16,,
Hoodisk Electronics Co Ltd MD401GNSE-CB3M2 8GB,DDR4,9300,8,,
Samsung M391A1K43BB1-CRC 8GB,DDR4,8750,8,,
Samsung M471A1K1KBB0-CPB 8GB,DDR4,8600,8,,
Panram International Corporation M424051 4GB,DDR4,8350,4,,
Heoriady M471A1K43CB1-CTD 8GB,DDR4,8000,8,,
Samsung M393A1G40DB0-B`B 8GB,DDR4,7900,8,,
A-DATA Technology AO1P26KC8T1-BXPS 8GB,DDR4,8700,8,,
Crucial Technology CT4G4SFS824A.C8FBD2 4GB,DDR4,8550,4,,
Kingston 9905630-033.A00G 16GB,DDR4,8450,16,,
Samsung M471A1A43CB1-CRC 8GB,DDR4,8300,8,,
Samsung M386A8K40CM2-CRC 64GB,DDR4,6750,64,,
I’M Intelligent Memory Ltd. PF4OUN-2400CH0-08G-A 8GB,DDR4,8550,8,,
Kingston 9965662-015.A00G 16GB,DDR4,8100,16,,
Samsung SF4721G4CKHH6DFSDS 8GB,DDR4,7800,8,,
Apacer Technology 78.B1GQB.4010B 4GB,DDR4,9350,4,,
Essencore Limited IM48GU88N26-GIIHMB 8GB,DDR4,9050,8,,
Ramaxel Technology RMSA3230KB78HAF2133 8GB,DDR4,8200,8,,
Kingston MSI24D4D4S8MB-8 8GB,DDR4,7900,8,,
Apacer Technology 78.CAGPP.ARW0B 8GB,DDR4,8450,8,,
Hynix Semiconductor (Hyundai Electronics) HMA84GL7AMR4N-UH 32GB,DDR4,6850,32,,
Micron Technology 36ADS2G72PZ-2G1A1 16GB,DDR4,5200,16,,
Corsair CMV8GX4M1L2400C16 8GB,DDR4,7850,8,,
Kingston 9905678-173.A00G 8GB,DDR4,7550,8,,
Kingston 8ATF1G64HZ-2G3B2 8GB,DDR4,6600,8,,
Kingston 9965640-004.C00G 16GB,DDR4,6000,16,,
Colorful Technology Ltd BAPC08G2666D4S8 8GB,DDR4,5850,8,,
Samsung M393A2K43BB1-CRCA1 16GB,DDR4,5900,16,,
Gloway International Co. Ltd. TYA4U2666D19321C 32GB,DDR4,5150,32,,
Apacer Technology 78.CAGR4.DFC0B 8GB,DDR4,6900,8,,
Nanya Technology NT8GA64D88AX3S-HR 8GB,DDR4,5500,8,,
Micron Technology 18ASF1G72PZ-2G1AV 8GB,DDR4,5300,8,,
Samsung M393A2K40BB0-CPB 16GB,DDR4,4050,16,,
Hynix Semiconductor (Hyundai Electronics) HMA41GR7MFR8N-TFT1 8GB,DDR4,4900,8,,
Corsair CMW32GX4M4K4266C19 8GB,DDR4,2950,8,,
Kingston HP26D4S9D8MJ-16 16GB,DDR4,1400,16,,
Kingston 99U5701-036.A00G 16GB,DDR4,8100,16,,
Corsair CMY8GX3M2A2666C10 4GB,DDR3,18550,4,,
G Skill Intl F3-19200CL9-4GBZMD 4GB,DDR3,16600,4,,
Golden Empire CL9-9-9 2GB,DDR3,15150,2,,
Mushkin 996902 2GB,DDR3,17250,2,,
Patriot Memory (PDP Systems) 2400C9 Series 2GB,DDR3,16050,2,,
Golden Empire CL9-11-9 D3-2133 4GB,DDR3,16050,4,,
Corsair CMY16GX3M4A3000C12 4GB,DDR3,17400,4,,
G Skill Intl F3-17600CL9-2GBXLD 2GB,DDR3,15850,2,,
Walton Chaintech AU2G733-24GH905 2GB,DDR3,15450,2,,
Avexir Technologies Corporation William Hemmens 4GB,DDR3,16250,4,,
Mushkin 99[2/7/4]083(F) 4GB,DDR3,15700,4,,
Crucial Technology BLE4G3D2001CE1TX0. 4GB,DDR3,14400,4,,
Mushkin 993988 4GB,DDR3,13800,4,,
Corsair CM3X8GA2400C11Y2R 8GB,DDR3,16100,8,,
G Skill Intl F3-2400C10-4GTD 4GB,DDR3,16100,4,,
Kingston 9905403-156.A00LF 2GB,DDR3,15300,2,,
Corsair CMD16GX3M4A2666C11 4GB,DDR3,15700,4,,
Golden Empire CL9-10-9 D3-2133 4GB,DDR3,16150,4,,
G Skill Intl F3-2666C10-4GTXD 4GB,DDR3,15400,4,,
Essencore Limited IMT41GU6MFR8C-R90 8GB,DDR3,15000,8,,
Golden Empire CL9-10-9DDR3-2200 2GB,DDR3,14750,2,,
Mushkin 99[2/7/4]164(S/Y) 4GB,DDR3,14600,4,,
ISD Technology Limited IMT41GU6MFR8Y-AB1 8GB,DDR3,14450,8,,
Avexir Technologies Corporation DDR3-2800 CL12 8GB 8GB,DDR3,16400,8,,
Team Group Inc. Dark-2400 4GB,DDR3,15100,4,,
Mushkin 994084 4GB,DDR3,14700,4,,
Mushkin 99[2/7/4]164S 4GB,DDR3,14150,4,,
G Skill Intl F3-2666C11-8GTXD 8GB,DDR3,15250,8,,
Golden Empire CL10-12-12 D3-2400 4GB,DDR3,14850,4,,
Corsair CMD32GX3M4A2400C11 8GB,DDR3,14550,8,,
Corsair CMZ32GX3M4A2400C10 8GB,DDR3,14250,8,,
Panram International Corporation PUD32400C114G2LSK 4GB,DDR3,15700,4,,
Mushkin 994122R 8GB,DDR3,14100,8,,
Corsair CMD16GX3M4A2666C10 4GB,DDR3,15500,4,,
G Skill Intl F3-2600C10-4GTXD 4GB,DDR3,15350,4,,
Mushkin 99[2/7/4]123(F/Y/R 8GB,DDR3,15050,8,,
Panram International Corporation PUD32133C108G2PSB 8GB,DDR3,13850,8,,
Aquarius Production Company LLC 16G-D3-2400-MR 8GB,DDR3,15500,8,,
AMD R538G1601U2S 8GB,DDR3,15350,8,,
Samsung M391B1G73BH0-YH9 8GB,DDR3,15250,8,,
Essencore Limited IMT451U6MFR8Y-CC0 4GB,DDR3,15000,4,,
Mushkin 992084 (997084) 4GB,DDR3,15000,4,,
Kingston KHX2133C12S3/4G 4GB,DDR3,14800,4,,
Visipro. 4GB,DDR3,14800,4,,
Mushkin 994093 4GB,DDR3,14650,4,,
Corsair CMD16GX3M4A2400C9 4GB,DDR3,14400,4,,
DATARAM DTM64440 8GB,DDR3,14350,8,,
Patriot Memory (PDP Systems) 2133C9 Series 4GB,DDR3,14250,4,,
Mushkin 992122R (997122R) 8GB,DDR3,15400,8,,
Mushkin 992121R (997121R) 8GB,DDR3,15150,8,,
Team Group Inc. Tri-Xtreem-1866 2GB,DDR3,15050,2,,
G Skill Intl F3-2800C12-8GTXDG 8GB,DDR3,14800,8,,
Avexir Technologies Corporation DDR3-2400 CL11 8GB 8GB,DDR3,14600,8,,
G Skill Intl F3-17000CL9-2GBXL 2GB,DDR3,14500,2,,
Corsair CMZ16GX3M4A2133C9 4GB,DDR3,14450,4,,
Golden Empire CL11-11-11 D3-2400 4GB,DDR3,13750,4,,
Ramaxel Technology RMR1870ED48E8F1066 2GB,DDR3,12850,2,,
Corsair CMG4GX3M2A2000C8 2GB,DDR3,15250,2,,
Kingston 9905403-160.A02LF 4GB,DDR3,15200,4,,
Transcend Information TX2400KLU-4GK 2GB,DDR3,15000,2,,
Corsair CMY32GX3M4C2133C11 8GB,DDR3,14250,8,,
Avexir Technologies Corporation DDR3-2400 CL10 8GB 8GB,DDR3,14250,8,,
Avexir Technologies Corporation DDR3-2000 CL9 8GB 8GB,DDR3,14200,8,,
Corsair CMT6GX3M3A1866C9 2GB,DDR3,13600,2,,
Mushkin 994105 8GB,DDR3,13000,8,,
Mushkin 992123 (997123) 8GB,DDR3,14750,8,,
AMD R9316G2130U2K 8GB,DDR3,14700,8,,
Corsair CMD8GX3M2A2800C12 4GB,DDR3,14650,4,,
Essencore Limited IMT41GU6MFR8Y-CC0 8GB,DDR3,14650,8,,
Walton Chaintech AU4G833-21GKB05 4GB,DDR3,14600,4,,
Samsung HMT41GS6BFR8A-RD 8GB,DDR3,14500,8,,
G Skill Intl F3-17000CL9-4GBSR 4GB,DDR3,14450,4,,
G Skill Intl F3-17600CL9-2GBXMD 2GB,DDR3,14100,2,,
Mushkin 994124R 8GB,DDR3,14050,8,,
Corsair CMD16GX3M4A2133C9 4GB,DDR3,13800,4,,
G Skill Intl F3-19200C11-4GBZHD 4GB,DDR3,13550,4,,
G Skill Intl F3-2133C10-4GZL 4GB,DDR3,13150,4,,
Corsair CMX16GX3=4A1866C11 4GB,DDR3,12600,4,,
Mushkin 994164 4GB,DDR3,15600,4,,
Essencore Limited IM38GU48C16-999HB 8GB,DDR3,15300,8,,
Corsair CMY8GX3M2A2133C8 4GB,DDR3,15000,4,,
G Skill Intl F3-17066CL8-2GBPS 2GB,DDR3,14850,2,,
Mushkin 99[1/6/8/3]995(S) 4GB,DDR3,14850,4,,
G Skill Intl F3-2400C9-4GTXD 4GB,DDR3,14400,4,,
AMD R938G2401U2S 8GB,DDR3,14350,8,,
Wiliot 16G-D3-2400-MR 8GB,DDR3,14350,8,,
Mushkin 991829 (996829) 2GB,DDR3,14300,2,,
Mushkin 994121 8GB,DDR3,14250,8,,
Avexir Technologies Corporation DDR3-1866 CL8 4GB,DDR3,14200,4,,
Corsair CMG6GX3M3A1600C7 2GB,DDR3,13100,2,,
Mushkin 992164 (997164) 4GB,DDR3,15050,4,,
G Skill Intl F3-16000CL9-4GBFL 4GB,DDR3,14950,4,,
Avexir Technologies Corporation DDR3-2000 CL9 4GB 4GB,DDR3,14850,4,,
Avexir Technologies Corporation DDR3-2400 CL11 4GB 4GB,DDR3,14850,4,,
Wilk Elektronik S.A. GY1866D364L9AS/4G 4GB,DDR3,14800,4,,
Golden Empire CL10-11-11 D3-2133 4GB,DDR3,14800,4,,
Apacer Technology 78.BAGFL.AFD0C 4GB,DDR3,14500,4,,
Corsair CMZ8GX3M2X2133C9 4GB,DDR3,14450,4,,
Hynix Semiconductor (Hyundai Electronics) HMT41GS6BFR8A-RD 8GB,DDR3,14050,8,,
Corsair CMD16GX3M4A2400C11 4GB,DDR3,13500,4,,
Corsair CMT12GX3M3A2000C9 4GB,DDR3,13500,4,,
G Skill Intl F3-2133C9-8GBZH 8GB,DDR3,13300,8,,
Crucial Technology CT16G3S186DM.M16FA 16GB,DDR3,13250,16,,
G Skill Intl F3-12800CL7-2GBECO 2GB,DDR3,13200,2,,
A-DATA Technology DDR3 2800 2OZ 8GB,DDR3,14750,8,,
EVGA 16G-D3-2400-MR 8GB,DDR3,14750,8,,
Crucial Technology BL51264FN2001.Y16F 4GB,DDR3,14700,4,,
AMD R934G2130U2 4GB,DDR3,14700,4,,
Mushkin 992071 (997071) 8GB,DDR3,14600,8,,
AMD AG38G2130U2S 8GB,DDR3,14600,8,,
Kingston 9905403-459.A00LF 4GB,DDR3,14550,4,,
Mushkin 994052 4GB,DDR3,14400,4,,
Mushkin 991996 (996996) 4GB,DDR3,14250,4,,
AMD R9316G2401U2K 8GB,DDR3,14150,8,,
Essencore Limited IMT41GU6MFR8Y-AB1 8GB,DDR3,14150,8,,
Corsair CMZ16GX3M4A2400C10 4GB,DDR3,13950,4,,
Mushkin 994083 4GB,DDR3,13900,4,,
Mushkin 99[2/7/4]122(F/R) 8GB,DDR3,13850,8,,
Corsair CMX4GX3M2A2000C9 2GB,DDR3,13550,2,,
Corsair CMY32GX3M4A2400C10 8GB,DDR3,13150,8,,
Corsair CMZ64GX3M8A1866C9 8GB,DDR3,12700,8,,
Mushkin 992057 (997057) 4GB,DDR3,12150,4,,
Avexir Technologies Corporation www.pcaxe.com 4GB,DDR3,15700,4,,
Aquarius Production Company LLC 08G-D3-2400-MR 4GB,DDR3,15000,4,,
ISD Technology Limited IMT451U6MFR8Y-AB1 4GB,DDR3,14950,4,,
G Skill Intl F3-2666C11-4GTXD 4GB,DDR3,14800,4,,
Transcend Information TX2133KLN-4GK 2GB,DDR3,14750,2,,
Panram International Corporation PUD32400C118G2LSK 8GB,DDR3,14550,8,,
Mushkin 992124 (997124) 8GB,DDR3,14350,8,,
G Skill Intl F3-2400C11-4GSR 4GB,DDR3,14300,4,,
Crucial Technology BLE8G3D21BCE1.16FN 8GB,DDR3,14250,8,,
Aquarius Production Company LLC 16G-D3-1866-MR 8GB,DDR3,14050,8,,
Avexir Technologies Corporation DDR3-2133 CL11 8GB 8GB,DDR3,14000,8,,
Mushkin 991997 (996997) 4GB,DDR3,13950,4,,
Apacer Technology 78.CAGH1.AFK0C 8GB,DDR3,13900,8,,
Corsair CMZ16GX3M4A2400C9 4GB,DDR3,13450,4,,
Corsair CM3X8GA2133C9D8 8GB,DDR3,13450,8,,
G Skill Intl F3-19200C11-4GBXLD 4GB,DDR3,13450,4,,
G Skill Intl F3-2133C10-8GZM 8GB,DDR3,13000,8,,
G Skill Intl F3-2133C10-4GZM 4GB,DDR3,12750,4,,
Mushkin 991981 (998981) 4GB,DDR3,12750,4,,
Mushkin 999000 4GB,DDR3,12250,4,,
ISD Technology Limited IMT451U6MFR8W-TA2 4GB,DDR3,14900,4,,
G Skill Intl F3-2666C12-8GTXD 8GB,DDR3,14850,8,,
Mushkin 99[2/7/4]092(F/Y) 4GB,DDR3,14700,4,,
Corsair CMD8GX3M2A2400C10 4GB,DDR3,14300,4,,
Mushkin 994126S 4GB,DDR3,14300,4,,
Mushkin 994122 8GB,DDR3,14300,8,,
G Skill Intl F3-2400C11-8GXM 8GB,DDR3,14300,8,,
Corsair CMY16GX3M4A2133C8 4GB,DDR3,14250,4,,
Mushkin 99[2/7/4]170(F/R) 8GB,DDR3,14200,8,,
Avant Technology H641GU67G3186G 8GB,DDR3,14000,8,,
G Skill Intl F3-2133C11-8GRSL 8GB,DDR3,13900,8,,
AMD R938G2130U2S 8GB,DDR3,13750,8,,
Avexir Technologies Corporation DDR3-2800 CL12 4GB,DDR3,13700,4,,
Avexir Technologies Corporation GD18668G52 8GB,DDR3,13700,8,,
Kingston 9905403-411.A00LF 4GB,DDR3,13650,4,,
Corsair CMSX16GX3M2B2133C1 8GB,DDR3,13450,8,,
Corsair CMT16GX3M4X2133C9 4GB,DDR3,13250,4,,
Corsair CMD32GX3M4A2133C9 8GB,DDR3,12700,8,,
Mushkin 993996 4GB,DDR3,12550,4,,
Corsair CMY32GX3M4B2666C11 8GB,DDR3,15150,8,,
Mushkin 99(2/7/4)166(R) 4GB,DDR3,15100,4,,
A-DATA Technology DDR3 2600 2OZ 8GB,DDR3,14350,8,,
Corsair CMD16GX3M4A2666C12 4GB,DDR3,14300,4,,
Carry Technology Co. Ltd. U3A8G93-21G9KHAC00 8GB,DDR3,14200,8,,
Corsair CMY16GX3M2A2133C9 8GB,DDR3,14050,8,,
Corsair CMD16GX3M4A2933C12 4GB,DDR3,14000,4,,
Corsair CMD16GX3M4A2800C12 4GB,DDR3,13950,4,,
G Skill Intl F3-2400C10-8GTX 8GB,DDR3,13950,8,,
G Skill Intl F3-19200C10-8GBZHD 8GB,DDR3,13800,8,,
AMD AG38G2130U2 8GB,DDR3,13250,8,,
Kingston 9905403-182.A01LF 2GB,DDR3,13200,2,,
OCZ OCZ3P2000LV2G 2GB,DDR3,12650,2,,
SanMax Technologies Inc. SMD-4G68H1P-16K-BK 4GB,DDR3,12150,4,,
Panram International Corporation PUD32800C124G2LSK 4GB,DDR3,15650,4,,
Corsair CMD16GX3M4B2800C12 4GB,DDR3,14450,4,,
Corsair CMD16GX3M4A3000C12 4GB,DDR3,14150,4,,
Corsair CMY16GX3M4A2800C12 4GB,DDR3,14050,4,,
G Skill Intl F3-2400C11-8GSR 8GB,DDR3,14050,8,,
AMD R934G2401U1S 4GB,DDR3,14000,4,,
G Skill Intl F3-15000CL9-2GBRH 2GB,DDR3,13900,2,,
Corsair CMY16GX3M4A2133C9 4GB,DDR3,13450,4,,
Micron Technology 16KTF1G64HZ-1G9E2 8GB,DDR3,13350,8,,
Corsair CML16GX3M4A2133C11 4GB,DDR3,13150,4,,
Mushkin 991991 (996991) 4GB,DDR3,12850,4,,
ISD Technology Limited IM34GU48Y29-CEEHM 4GB,DDR3,15300,4,,
AMD AG34G2130U1S 4GB,DDR3,14400,4,,
Avexir Technologies Corporation TheOverclocker_Neo 4GB,DDR3,14300,4,,
Corsair CMD16GX3M4A2133C8 4GB,DDR3,14250,4,,
G Skill Intl F3-17000CL9-4GBXM 4GB,DDR3,14150,4,,
Avexir Technologies Corporation DDR3-2666 CL11 4GB,DDR3,14050,4,,
Transcend Information TX2400KLN-8GK 4GB,DDR3,14050,4,,
Corsair CMD16GX3M2A2666C11 8GB,DDR3,13950,8,,
Team Group Inc. Dark-2133 4GB,DDR3,13900,4,,
Corsair CMD32GX3M4A2400C10 8GB,DDR3,13900,8,,
Mushkin 992121 (997121) 8GB,DDR3,13750,8,,
Mushkin 992015 (997015) 4GB,DDR3,13650,4,,
G Skill Intl F3-16000CL6-2GBPIS 2GB,DDR3,13500,2,,
Corsair CMX16GX3M4A1866C11 4GB,DDR3,13500,4,,
Corsair CMZ16GX3M4A2133C11 4GB,DDR3,13400,4,,
Kingmax Semiconductor FLIF66F-C8KL9A 4GB,DDR3,13350,4,,
Mushkin 991990 (996990) 4GB,DDR3,13350,4,,
Mushkin 992125R (997125R) 8GB,DDR3,13350,8,,
Micron Technology 16KTF1G64AZ-1G6N1 8GB,DDR3,13350,8,,
Mushkin 992008 (997008) 4GB,DDR3,13300,4,,
Corsair CMY32GX3M4A2133C11 8GB,DDR3,13200,8,,
Mushkin 994123 8GB,DDR3,13150,8,,
Transcend Information TX2133KLH-16GK 8GB,DDR3,13100,8,,
G Skill Intl F3-17000CL9-4GBZH 4GB,DDR3,12950,4,,
Team Group Inc. TEAMGROUP-UD3-2400 8GB,DDR3,14400,8,,
G Skill Intl F3-2400C10-4GTX 4GB,DDR3,14050,4,,
Golden Empire CL12-14-14 D3-3000 4GB,DDR3,13850,4,,
G Skill Intl F3-2400C11-8GAB 8GB,DDR3,13750,8,,
G Skill Intl F3-2133C9-8GXH 8GB,DDR3,13700,8,,
Corsair CMD8GX3M2B2800C12 4GB,DDR3,13650,4,,
G Skill Intl F3-17000CL9-4GBXLD 4GB,DDR3,13550,4,,
Avexir Technologies Corporation DDR3-2133 CL9 4GB,DDR3,13550,4,,
Crucial Technology 16JTF1G64AZ-1G6E1 8GB,DDR3,13500,8,,
Corsair CMY8GX3M2C1866C10 4GB,DDR3,13450,4,,
Corsair CMY16GX3M2A2400C10 8GB,DDR3,13400,8,,
EVGA 16G-D3-2133-MR 8GB,DDR3,13050,8,,
"PNY Technologies, Inc. 8GBH2X04JACC31-165 8GB",DDR3,12900,8,,
G Skill Intl F3-17000CL11-4GBZL 4GB,DDR3,12750,4,,
Corsair CMD16GX3M4A2400C10 4GB,DDR3,12700,4,,
Patriot Memory (PDP Systems) 2133EL Series 4GB,DDR3,12600,4,,
Corsair CMD64GX3M8A2133C9 8GB,DDR3,12300,8,,
G Skill Intl F3-17000C11-8GBZLD 8GB,DDR3,12200,8,,
Nanya Technology M2Y2G64CB8HA9N-DG 2GB,DDR3,11850,2,,
ISD Technology Limited IMT451U6MFR8Y-DC0 4GB,DDR3,15000,4,,
G Skill Intl F3-1866C9-8GZH 8GB,DDR3,14300,8,,
Mushkin 994046 4GB,DDR3,14150,4,,
G Skill Intl F3-2400C11-4GXM 4GB,DDR3,13950,4,,
Avexir Technologies Corporation DDR3-2400 CL10 4GB,DDR3,13850,4,,
G Skill Intl F3-2133C9-4GAB 4GB,DDR3,13700,4,,
Corsair CMT8GX3M2A2000C9 4GB,DDR3,13500,4,,
Corsair CMT8GX3M2B2133C9 4GB,DDR3,13350,4,,
Avexir Technologies Corporation DDR3 2400 CL10 4GB 4GB,DDR3,13300,4,,
Mushkin 992123R (997123R) 8GB,DDR3,13300,8,,
Kingston 9905428-048.A00LF 4GB,DDR3,13100,4,,
G Skill Intl F3-2400C11-8GZM 8GB,DDR3,13100,8,,
G Skill Intl F3-2133C9-4GZH 4GB,DDR3,12800,4,,
Golden Empire CL11-12-12 D3-2400 4GB,DDR3,12250,4,,
Kingston 9905403-423.A00LF 4GB,DDR3,12100,4,,
Mushkin 994007 4GB,DDR3,12100,4,,
Mushkin 994104 8GB,DDR3,11900,8,,
Avexir Technologies Corporation MSI Z77 MPOWER 4GB,DDR3,11650,4,,
Samsung TRV16G36CA9VLD-Z8 16GB,DDR3,11100,16,,
Samsung 1866 CL10 Series 8GB,DDR3,10850,8,,
G Skill Intl F3-14900CL8-4GBXM 4GB,DDR3,14150,4,,
Team Group Inc. Xtreem-LV-2666 4GB,DDR3,14000,4,,
EVGA 08G-D3-2133-MR 4GB,DDR3,14000,4,,
Corsair CMD16GX3M2A2400C10 8GB,DDR3,13900,8,,
Corsair CMT4GX3M2A2133C9 2GB,DDR3,13750,2,,
Team Group Inc. Xtreem LV-1600 2GB,DDR3,13700,2,,
Corsair CMY16GX3M2A2666C12 8GB,DDR3,13550,8,,
Crucial Technology BLT4G3D1869DT2TXOB 4GB,DDR3,13550,4,,
G Skill Intl F3-14900CL8-4GBZM 4GB,DDR3,13500,4,,
A-DATA Technology DDR3 2400 2OZ 8GB,DDR3,13500,8,,
Corsair CMY32GX3M4A2666C12 8GB,DDR3,13300,8,,
ISD Technology Limited IMT451U6MFR8C-R90 8GB,DDR3,13250,8,,
Crucial Technology BLS8G3D18AES2LX0.1 8GB,DDR3,13100,8,,
Kingston KHX1866C11S3/4G 4GB,DDR3,13100,4,,
Crucial Technology BL25664FN1869.Z16F 2GB,DDR3,12950,2,,
Guangzhou Zhong Hao Tian Electronic ZFWY8G1866PC 8GB,DDR3,12900,8,,
Gloway International (HK) WAR1600CL11DHB8GB 8GB,DDR3,12850,8,,
Kingston X6CY34-HYC 2GB,DDR3,12450,2,,
Corsair CMZ32GX3M4A2133C10 8GB,DDR3,12150,8,,
G Skill Intl F3-17600CL7-2GBPIS 2GB,DDR3,14700,2,,
"PNY Technologies, Inc. 8GBH2X04F91927-15 8GB",DDR3,14600,8,,
Corsair CMD16GX3M2A2666C12 8GB,DDR3,13850,8,,
G Skill Intl F3-1866C8-8GTX 8GB,DDR3,13800,8,,
Panram International Corporation PUD31866C98G2PSB 8GB,DDR3,13600,8,,
Corsair CMT8GX3M2A1866C9 4GB,DDR3,13550,4,,
G Skill Intl F3-2133C9-8GTX 8GB,DDR3,13550,8,,
Corsair CMZ16GX3M2A2133C10 8GB,DDR3,13400,8,,
Crucial Technology BLS4G3D18ADS3.16FK 4GB,DDR3,13350,4,,
Transcend Information TX2133KLN-8GK 4GB,DDR3,13300,4,,
Patriot Memory (PDP Systems) 2400C11 Series 4GB,DDR3,13250,4,,
A-DATA Technology DDR3 1866G 2OZ 4GB,DDR3,13200,4,,
Corsair CMX4GX3M2B2000C9 2GB,DDR3,13100,2,,
Mushkin 992124R (997124R) 8GB,DDR3,13100,8,,
G Skill Intl F3-2400C10-4GZH 4GB,DDR3,13100,4,,
Team Group Inc. Xtreem-LV-2133 4GB,DDR3,12950,4,,
Mushkin 994092 4GB,DDR3,12900,4,,
G Skill Intl F3-14900CL8-2GBXM 2GB,DDR3,12700,2,,
Micron Technology 16KTF1G64HZ-1G9P2 8GB,DDR3,12700,8,,
Golden Empire CL10-11-11 D3-2400 4GB,DDR3,12450,4,,
Corsair CMX8GX3M2A1866C11 4GB,DDR3,12350,4,,
G Skill Intl F3-2133C9-8GZH 8GB,DDR3,12150,8,,
SanMax Technologies Inc. SMD-4G68HP-16K 4GB,DDR3,12050,4,,
Corsair CMSX16GX3M2C2133C1 8GB,DDR3,12000,8,,
Kingston RBU1333D3U9S8G/2GE 2GB,DDR3,11900,2,,
Mushkin 992083 (997083) 4GB,DDR3,14050,4,,
Corsair CMY8GX3M2B2133C9 4GB,DDR3,13900,4,,
Corsair CMY32GX3M4A2800C12 8GB,DDR3,13750,8,,
Corsair CMD8GX3M2A2666C12 4GB,DDR3,13700,4,,
Corsair CMD8GX3M2A2400C11 4GB,DDR3,13650,4,,
Corsair CM3X4GB2133C11Y4 4GB,DDR3,13650,4,,
Corsair CMY8GX3M2A2400C11 4GB,DDR3,13600,4,,
PNY Electronics 4GBH2X02HBBB30-165 4GB,DDR3,13500,4,,
Corsair CMY16GX3M2A2400C11 8GB,DDR3,13500,8,,
Kingston KHX2400C11D3/4GX 4GB,DDR3,13500,4,,
Silicon Power Computer & Communications SP008GXLYU24ANSA 8GB,DDR3,13450,8,,
G Skill Intl F3-17000CL11-4GBXL 4GB,DDR3,13450,4,,
Corsair CMD16GX3M4A1866C9 4GB,DDR3,13400,4,,
Corsair CMY32GX3M4A2400C11 8GB,DDR3,13350,8,,
Kingston KHX2400C11D3/8GX 8GB,DDR3,13300,8,,
PNY Electronics 8GBH2X04JACC31-165 8GB,DDR3,13200,8,,
Kingston KHX1866C11D3L/8G 8GB,DDR3,13150,8,,
Corsair CMSX8GX3M1A1866C10 8GB,DDR3,12750,8,,
A-DATA Technology DDR3 2133X 8GB,DDR3,12500,8,,
ASint Technology WLB308D08-EGN2A 8GB,DDR3,12450,8,,
A-DATA Technology DDR3 2400G 2OZ 8GB,DDR3,12400,8,,
Corsair CMT4GX3M2A1600C7 2GB,DDR3,13800,2,,
SK Hynix MPPU4GB16008Chips 4GB,DDR3,13700,4,,
G Skill Intl F3-2800C12-4GTXDG 4GB,DDR3,13500,4,,
Corsair CMZ16GX3M4X1600C8 4GB,DDR3,13500,4,,
Samsung M379B5273DH0-YK0 4GB,DDR3,13300,4,,
Mushkin 994098 4GB,DDR3,13250,4,,
Corsair CMD8GX3M2B2133C9 4GB,DDR3,13250,4,,
Corsair CMY16GX3M2A2133C11 8GB,DDR3,13250,8,,
Corsair CMD16GX3M2A2400C11 8GB,DDR3,13150,8,,
Corsair CM3X8GB1600C9L4 8GB,DDR3,12900,8,,
Corsair CMT6GX3M3A2000C8 2GB,DDR3,12850,2,,
Mushkin MES3U1609M8G(X2/4) 8GB,DDR3,12850,8,,
ISD Technology Limited IMT41GU6MFR8W-TA2 8GB,DDR3,12800,8,,
Mushkin 992072 (997072) 8GB,DDR3,12750,8,,
Kingston KHX2133C11S3L/8G 8GB,DDR3,12750,8,,
G Skill Intl F3-1866C9-4GAB 4GB,DDR3,12700,4,,
A Force Manufacturing Ltd. 1GX72B160K 8GB,DDR3,12200,8,,
G Skill Intl F3-12800CL9-2GBZL 2GB,DDR3,12100,2,,
