model,type,speed,Capacity (GB),Form Factor,DRAM Configuration
Corsair CMK32GX4M2Z3600C18 16GB,DDR4,16800,16,DIMM,Dual Inline Memory Module (DIMM) x 2
G Skill Intl F4-3600C18-8GTZRX 8GB,DDR4,16800,8,SO-DIMM,x8
Patriot Memory (PDP Systems) 3400 C16 Series 8GB,DDR4,16750,8,SO-DIMM,x2
Corsair CMW16GX4M2Z3600C18 8GB,DDR4,16750,8,SO-DIMM,XMP 2.0
Corsair CMT32GX4M4C3200C16 8GB,DDR4,16700,8,DIMM,Dual Channel
Crucial Technology BL16G30C15U4B.M16FE1 16GB,DDR4,16650,16,Unbuffered SO-DIMM,Single-Channel
Corsair CMWX16GC3200C16W4 16GB,DDR4,16650,16,UDIMM,PC4-2133
G Skill Intl F4-3600C18-32GVK 32GB,DDR4,16650,32,DIMM,Dual Channel
G Skill Intl F4-3600C18-8GTZN 8GB,DDR4,16650,8,SO-DIMM,Single Rank
Corsair CMT32GX4M2Z3200C16 16GB,DDR4,16600,16,DIMM,Dual Channel
Kingston KHX2933C17S4/8G 8GB,DDR4,16550,8,SO-DIMM,Dual In-Line
Crucial Technology BL16G36C16U4W.M16FE1 16GB,DDR4,16550,16,UDIMM,Single-Rank
G Skill Intl F4-3600C18-32GTRS 32GB,DDR4,16500,32,SO-DIMM,Dual Channel
Corsair CMK32GX4M2F4000C19 16GB,DDR4,16450,16,DIMM,Dual Channel
Crucial Technology CT16G4DFD832A.C16FN 16GB,DDR4,16450,16,SO-DIMM,Unbuffered
Gold Key Technology Co Ltd NMUD480E82-3200E 8GB,DDR4,16400,8,SODIMM,Single/Dual Channel
Corsair CMW8GX4M1Z3200C16 8GB,DDR4,16300,8,SO-DIMM,Dual Channel
G Skill Intl F4-3333C16-8GVK 8GB,DDR4,16300,8,DIMM,Dual Channel
Thermaltake Technology Co Ltd R017D408GX2-4400C19A 8GB,DDR4,16200,8,SO-DIMM,"Single Rank, Unbuffered, Non-ECC"
Crucial Technology CT16G4SFD832A.M16FJ 16GB,DDR4,16200,16,SO-DIMM,"Single Rank, x8"
Kingston HP32D4U8D8HC-16X 16GB,DDR4,16100,16,UDIMM,1Rx8
Corsair CMSX64GX4M2A2933C19 32GB,DDR4,16000,32,DIMM,Dual Channel
Avant Technology J644GU44J2320NQ 32GB,DDR4,16000,32,UDIMM (Unbuffered Dual In-Line Memory Module),"X64, Single Channel"
Wilk Elektronik S.A. GR3200S464L22/16G 16GB,DDR4,15950,16,UDIMM,
A-DATA Technology AO1E34RCTV2-BZWS 32GB,DDR4,15950,32,UDIMM,SDRAM
Kingston 9905744-062.A00G 32GB,DDR4,15750,32,SO-DIMM,Unbuffered
Corsair CMK64GX4M8X4133C19 8GB,DDR4,13750,8,DIMM,Unbuffered
Kingston KF3600C17D4/8GX 8GB,DDR4,17800,8,DIMM,Single Rank
Corsair CMK32GX4M4B3866C18 8GB,DDR4,17550,8,DIMM,Dual Channel
Galaxy Microsystems Ltd. GALAX OC LAB 8GB,DDR4,17450,8,SO-DIMM,Dual Channel
Crucial Technology CT32G4DFD832A.C16FE 32GB,DDR4,17250,32,DIMM,x4
Corsair CMR32GX4M2D3000C16 16GB,DDR4,17150,16,DIMM,"Dual In-Line Memory Module, 288-pin"
Kingston KHX3200C18D4/16G 16GB,DDR4,17150,16,DIMM,"X8, CAS Latency 18"
G Skill Intl F4-3200C16-4GRK 4GB,DDR4,17100,4,DIMM,Dual Channel
Corsair CMW32GX4M2D3600C18 16GB,DDR4,17100,16,UDIM,Dual Channel
Crucial Technology BLS8G4D32AESBK.M8FE1 8GB,DDR4,17000,8,SO-DIMM,Dual Channel
Transcend Information JM3200HLE-16G 16GB,DDR4,17000,16,SO-DIMM,Single Channel
Corsair CMT64GX4M4C3200C16 16GB,DDR4,16850,16,DIMM,Dual Channel
Corsair CMT32GX4M2E3200C16 16GB,DDR4,16850,16,DIMM,Dual Channel
Advantech Co Ltd SQR-UD4N16G2K6SNCB 16GB,DDR4,16800,16,UDIMM,Dual Channel
Crucial Technology BL16G30C15U4W.M16FE1 16GB,DDR4,16750,16,UDIMM,PC4-2133
Corsair CMW64GX4M4C3466C16 16GB,DDR4,16700,16,DIMM,Dual Channel
G Skill Intl F4-4266C19-8GTZA 8GB,DDR4,16600,8,SO-DIMM,Unbuffered
Crucial Technology BL16G32C16U4RL.M16FE 16GB,DDR4,16600,16,SO-DIMM,x32
Patriot Memory (PDP Systems) 2800 C18 Series 16GB,DDR4,16600,16,DIMM,Unbuffered
G Skill Intl F4-3200C14-8GTZ 8GB,DDR4,16550,8,DIMM,Dual Channel
Crucial Technology CT32G4DFD8266.C16FE 32GB,DDR4,16550,32,SO-DIMM,2Rx8
Corsair CMW32GX4M2Z3200C16 16GB,DDR4,16500,16,SO-DIMM,XMP 2.0
Corsair CMK32GX4M2Z3200C16 16GB,DDR4,16500,16,DIMM,Dual Channel
Kingston KHX3600C18D4/32GX 32GB,DDR4,16300,32,DIMM,Dual Channel
Corsair CMK32GX4M2Z4000C18 16GB,DDR4,16200,16,Dual In-Line Memory Module (DIMM),"Unbuffered, Non-ECC"
Avant Technology J644GU44J2320NF 32GB,DDR4,16100,32,SO-DIMM,2x16GB
Crucial Technology BL32G32C16U4B.M16FB1 32GB,DDR4,16100,32,UDIMM,Single Rank x16
Chun Well Technology Holding Limited CL16-20-20 D4-3000 32GB,DDR4,16050,32,UDIMM,Single Rank x8
Essencore Limited KD48GU880-36A180U 8GB,DDR4,15950,8,SO-DIMM,Single Channel
Corsair CM4X16GD3200C16K4E 16GB,DDR4,15900,16,UDIM,Dual Channel
Crucial Technology BL16G26C16U4W.16FD 16GB,DDR4,15850,16,SO-DIMM,Unbuffered
Crucial Technology CT8G4DFS832A.M8FR 8GB,DDR4,18050,8,SODIMM,Dual Channel
Avexir Technologies Corporation DDR4-3600 CL17 8GB 8GB,DDR4,17950,8,UDIMM,x8
Crucial Technology BL8G30C15U4W.M8FE1 8GB,DDR4,17550,8,SO-DIMM,PC4-1866
Crucial Technology BL8G32C16U4BL.8FE 8GB,DDR4,17550,8,SO-DIMM,Dual Channel
Crucial Technology BL16G32C16U4RL.M8FB1 16GB,DDR4,17500,16,SO-DIMM,PC4-1700
G Skill Intl F4-3000C16-8GSXKB 8GB,DDR4,17400,8,DIMM,Dual Channel
G Skill Intl F4-3200C16-16GSXWB 16GB,DDR4,17350,16,SO-DIMM,Dual Channel
V-Color Technology Inc. TD416G32S822 16GB,DDR4,17350,16,SO-DIMM,Dual Channel
Panram International Corporation PUD43000C154G4NJW 4GB,DDR4,17250,4,SO-DIMM,Single Rank
Crucial Technology BL8G32C16U4W.8FE 8GB,DDR4,17200,8,SO-DIMM,Single Rank x16
Gold Key Technology Co Ltd NMGD480E82-3200D 8GB,DDR4,17150,8,SO-DIMM,Dual Channel
Patriot Memory (PDP Systems) PSD416G320081 16GB,DDR4,17150,16,SO-DIMM,Dual Channel
G Skill Intl F4-3200C15-16GTZKW 16GB,DDR4,17100,16,SO-DIMM,Dual Channel
A-DATA Technology DDR4 2800 8GB,DDR4,17100,8,SO-DIMM,Dual Channel
Hyundai Inc AR32C16S8K2HU416R 8GB,DDR4,17050,8,SO-DIMM,x16
G Skill Intl F4-4000C19-4GVK 4GB,DDR4,16950,4,SO-DIMM,
Wilk Elektronik S.A. IRX3200D464L16SA/8G 8GB,DDR4,16950,8,SO-DIMM,Unbuffered
Silicon Power Computer & Communications SP016GBLFU266B02 16GB,DDR4,16900,16,SO-DIMM,Single Channel
Patriot Memory (PDP Systems) 3600 C18 Series 32GB,DDR4,16900,32,SO-DIMM,UDIMM
Crucial Technology BLS8G4D30AESEK.M8FE 8GB,DDR4,16850,8,SO-DIMM,Single Rank
SK Hynix GKE160SO102408-3000 16GB,DDR4,16850,16,SODIMM,
King Tiger Technology Tigo-X3-3200MHz-8G 8GB,DDR4,16800,8,DIMM,Dual In-Line Memory Module
Crucial Technology BLS8G4D32AESBK.M8FE 8GB,DDR4,16750,8,SO-DIMM,Single Channel
Crucial Technology BL16G36C16U4R.M16FE1 16GB,DDR4,16750,16,SO-DIMM,Dual Channel
G Skill Intl F4-3200C16-16GTZRX 16GB,DDR4,16750,16,SO-DIMM,Dual Channel
Crucial Technology BLS16G4D32AESB.M16FE 16GB,DDR4,16750,16,SO-DIMM,1Rx8
Corsair CMW64GX4M4E3200C16 16GB,DDR4,16750,16,DIMM,"1x16GB, Dual Rank"
Crucial Technology CT16G4DFRA32A.M16FR 16GB,DDR4,16750,16,SO-DIMM,Single Rank
Corsair CMW16GX4M2D3600C18 8GB,DDR4,16700,8,DIMM,XMP
Hynix Semiconductor (Hyundai Electronics) HMA82GU6CJR8N-VK 16GB,DDR4,16650,16,SO-DIMM,
Crucial Technology BL16G32C16U4W.M16FE1 16GB,DDR4,16650,16,SO-DIMM,PC4-2133
InnoDisk Corporation M4UI-AGS1KC0K-C 16GB,DDR4,16550,16,DIMM,1Rx8
Crucial Technology CT8G4DFS832A.C8FJ 8GB,DDR4,16500,8,SO-DIMM,Single Rank x16
G Skill Intl F4-4000C19-8GTZ 8GB,DDR4,16400,8,DIMM,Dual Channel
G Skill Intl F4-4000C18-8GVK 8GB,DDR4,16400,8,DIMM,Dual Channel
G Skill Intl F4-3200C16-32GTZR 32GB,DDR4,16350,32,Dual In-Line (DIMM),UDIMM
Kingston HP32D4U8S8HC-8XR 8GB,DDR4,16000,8,SO-DIMM,UDIMM
Micron Technology 16ATF2G64HZ-3G2E1 16GB,DDR4,15900,16,SO-DIMM,Unbuffered
Crucial Technology CT16G4SFRA32A.C16FP 16GB,DDR4,15600,16,SO-DIMM,Single Module
Micron Technology 16ATF4G64HZ-2G6B4 32GB,DDR4,15450,32,UDIMM,1Rx8
Micron Technology 8ATF2G64AZ-3G2F1 16GB,DDR4,18600,16,SO-DIMM,Single Rank x4
Kingston LV36D4U1S8HD-8XR 8GB,DDR4,18300,8,SO-DIMM,PC4-1833
G Skill Intl F4-3200C14-8GTZN 8GB,DDR4,17800,8,SO-DIMM,Unbuffered
G Skill Intl F4-3466C16-8GTZSK 8GB,DDR4,17500,8,DIMM,X16
Mushkin MR[A/B]4U320LLLM16G 16GB,DDR4,17500,16,SO-DIMM,Dual Channel
Shenzhen Micro Innovation Industry KF3200DDCD4 16GB,DDR4,17500,16,SO-DIMM,Dual In-Line Memory Module
G Skill Intl F4-3200C16-8GRKB 8GB,DDR4,17450,8,DIMM,Dual Channel
Kingston HP37D4U1S8ME-8XR 8GB,DDR4,17450,8,SO-DIMM,Unbuffered
Panram International Corporation PUD43000C158G2NJK 8GB,DDR4,17400,8,DIMM,Single
Aquarius Production Company LLC 16G-D4-2666-MR 4GB,DDR4,17400,4,DIMM,single-rank x8
Corsair CMK16GX4M2B3466C16 8GB,DDR4,17350,8,DIMM,Dual Channel
Gold Key Technology Co Ltd NMUD480E86-3200 8GB,DDR4,17250,8,SO-DIMM,Single Channel
Wilk Elektronik S.A. IRX3200D464L16S/8G 8GB,DDR4,17200,8,SO-DIMM,Unbuffered
Corsair CMK64GX4M4K3733C17 16GB,DDR4,17200,16,DIMM,Dual Channel
G Skill Intl F4-4000C19-4GTZ 4GB,DDR4,17200,4,SO-DIMM,Dual Channel
Hyundai Inc AR32C16S8K2SU416R 8GB,DDR4,17200,8,SO-DIMM,x16
Crucial Technology BL8G32C16U4BL.M8FE 8GB,DDR4,17100,8,SO-DIMM,Dual Channel
Corsair CMK16GX4M4B3866C18 4GB,DDR4,17050,4,SO-DIMM,x4
Corsair CMK8GX4M2B4133C19 4GB,DDR4,17000,4,SO-DIMM,Dual Channel
G Skill Intl F4-3000C15-8GRKB 8GB,DDR4,16950,8,DIMM,Dual Channel
Mushkin 99[2/7/4]208F 8GB,DDR4,16950,8,SO-DIMM,PC4-1700
G Skill Intl F4-3400C16-8GTZ 8GB,DDR4,16950,8,SO-DIMM,UDIMM
Corsair CMT32GX4M2C3466C16 16GB,DDR4,16950,16,UDIM,Dual Channel
Corsair CMD32GX4M4B3600C16 8GB,DDR4,16850,8,DIMM,"2x4GB, Dual Channel"
G Skill Intl F4-3400C16-16GVK 16GB,DDR4,16850,16,SO-DIMM,Dual Channel
Corsair CMK16GX4M2C3600C20 8GB,DDR4,16850,8,SO-DIMM,Single-Rank
G Skill Intl F4-3200C16-8GTZRX 8GB,DDR4,16850,8,SO-DIMM,Dual Channel
Crucial Technology BLS8G4D26BFSE.16FBR2 8GB,DDR4,16800,8,SO-DIMM,Dual Channel
Kingston HP37D4U1S8ME-8X 8GB,DDR4,16800,8,SO-DIMM,UDIMM
Kingston X74R9W-MIE 8GB,DDR4,16750,8,SO-DIMM,Unbuffered Single Sided
G Skill Intl F4-3000C15-4GVR 4GB,DDR4,16750,4,DIMM,x4
Kingston 9905702-400.A00G 8GB,DDR4,16750,8,SO-DIMM,Unbuffered
G Skill Intl F4-3200C14-32GVK 32GB,DDR4,16750,32,DIMM,Dual Channel
Corsair CMW32GX4M4C3200C16 8GB,DDR4,16600,8,DIMM,Dual In-Line Memory Module (x4)
Corsair CMK32GX4M2D3600C18 16GB,DDR4,16600,16,DIMM,Dual Channel
G Skill Intl F4-3600C19-16GSXKB 16GB,DDR4,16600,16,Dual In-Line Memory Module (DIMM),"2x8GB, XMP"
Shenzhen Micro Innovation Industry PSD41626D19P1 16GB,DDR4,16550,16,SO-DIMM,
G Skill Intl F4-4800C19-8GTZRC 8GB,DDR4,16500,8,SO-DIMM,Dual Channel
Kingston KHX3600C18D4/16GX 16GB,DDR4,16500,16,DIMM,Dual In-Line Memory Module (DIMM) x2
G Skill Intl F4-4133C19-8GTZKW 8GB,DDR4,16450,8,SO-DIMM,x8 Dual Channel
G Skill Intl F4-3200C14-16GTZ 16GB,DDR4,16350,16,SO-DIMM,x16
G Skill Intl F4-3200C16-16GVS 16GB,DDR4,16300,16,SO-DIMM,Dual Channel
Corsair CMK64GX4M2D3600C18 32GB,DDR4,16300,32,DIMM,Dual Channel
G Skill Intl F4-3000C16-16GTZN 16GB,DDR4,16250,16,SO-DIMM,Dual Channel
G Skill Intl F4-3600C18-16GVK 16GB,DDR4,16250,16,UDIM,Dual Channel
Crucial Technology BL32G32C16S4B.16FB 32GB,DDR4,16150,32,SO-DIMM,Single-Rank
Corsair CMSX32GX4M2A2933C19 16GB,DDR4,16050,16,DIMM,Dual Channel
Kingston XN205T-MIE 16GB,DDR4,15950,16,SO-DIMM,Dual In-Line
Mushkin MRA4S320GJJM32G 32GB,DDR4,15900,32,SO-DIMM,Dual Channel
Crucial Technology CT8G4SFRA266.M16FG 8GB,DDR4,15800,8,SO-DIMM,Single Rank
Essencore Limited KD4AGS88C-32N220D 16GB,DDR4,15750,16,SO-DIMM,
G Skill Intl F4-3400C16-4GRBD 4GB,DDR4,15700,4,SO-DIMM,Dual Channel
G Skill Intl F4-3000C14-16GTZR 16GB,DDR4,14950,16,SO-DIMM,UDIMM
Corsair CMK32GX4M4K4000C19 8GB,DDR4,14750,8,DIMM,Dual Inline Memory Module
Corsair CMK64GX4M8X4200C19 8GB,DDR4,13900,8,DIMM,"Single Rank, XMP"
G Skill Intl F4-3600C14-16GTZRA 16GB,DDR4,18800,16,UDIM,Single Rank
Thermaltake Technology Co Ltd R022D408GX2-3200C16A 8GB,DDR4,17400,8,SO-DIMM,X16
Transcend Information JM3200HLB-16G 16GB,DDR4,17400,16,SO-DIMM,Unbuffered
Corsair CMU16GX4M2D3000C16 8GB,DDR4,17300,8,DIMM,x4
Corsair CM4X8GC3000C15K4 8GB,DDR4,17300,8,DIMM,Unbuffered
G Skill Intl F4-4133C19-4GTZ 4GB,DDR4,17200,4,SO-DIMM,Dual Channel
Crucial Technology BL16G32C16U4R.M16FE1 16GB,DDR4,17200,16,SO-DIMM,Unbuffered
Corsair CMD32GX4M4B3733C17 8GB,DDR4,17150,8,DIMM,x4
Crucial Technology BL8G32C16U4W.M8FE1 8GB,DDR4,17100,8,SO-DIMM,Single Rank x16
Kingston HP37D4U1S8ME-16XR 16GB,DDR4,17050,16,SO-DIMM,Single Rank
Chun Well Technology Holding Limited MD4U3232160 32GB,DDR4,17000,32,UDIMM,Dual In-Line Memory Module
A-DATA Technology DDR4 3600 2OZ 8GB,DDR4,16950,8,SO-DIMM,PC4-1700
Corsair CMK32GX4M4K4133C19 8GB,DDR4,16900,8,SO-DIMM,Dual Channel
Kingmax Semiconductor GLLH22F-18KCGA------ 16GB,DDR4,16750,16,SO-DIMM,x8
Corsair CMD16GX4M4B3400C16 4GB,DDR4,16700,4,DIMM,PC4-17000 C16
Corsair CMD16GX4M2E4000C19 8GB,DDR4,16700,8,DIMM,Dual Channel
G Skill Intl F4-3200C16-16GTZR 16GB,DDR4,16700,16,DIMM,Dual Channel
Smart Modular SF4642G8CK8I8HLSBG 16GB,DDR4,16650,16,SODIMM,Dual In-Line Memory Module (DIMM)
A-DATA Technology AO1P29KC8T1-BY9SSB 8GB,DDR4,16650,8,SO-DIMM,Unbuffered
G Skill Intl F4-4000C18-32GTZR 32GB,DDR4,16650,32,DIMM,Dual Channel
G Skill Intl F4-3600C18-8GVK 8GB,DDR4,16600,8,SO-DIMM,Dual Channel
InnoDisk Corporation M4C0-AGS1TCIK 16GB,DDR4,16600,16,SO-DIMM,Not specified
King Tiger Technology TMKU8G868-240U 8GB,DDR4,16550,8,UDIMM (Unbuffered Dual In-Line Memory Module),Not specified
Crucial Technology BLT8G4D30AET4K.M8FE1 8GB,DDR4,16550,8,SO-DIMM,
Crucial Technology BLE8G4D34AEEAK.K8FB 8GB,DDR4,16550,8,SO-DIMM,Unbuffered Single-Rank
Kingston KHX3200C18D4/8G 8GB,DDR4,16550,8,SO-DIMM,Dual In-Line
Crucial Technology BLS8G4D26BFSC.16FB 8GB,DDR4,16550,8,SODIMM,PC4-3300
Crucial Technology BLS16G4D32AESC.M16FE 16GB,DDR4,16500,16,SO-DIMM,Dual Channel
Corsair CMWX8GD3600C18W2D 8GB,DDR4,16450,8,DIMM,Single Rank
Corsair CMWX8GD3200C16W4 8GB,DDR4,16450,8,Single SO-DIMM,UDIMM
Crucial Technology BL8G32C16U4B.M8FE 8GB,DDR4,16450,8,SO-DIMM,Dual Channel
Corsair CMW32GX4M4Z3200C16 8GB,DDR4,16450,8,DIMM,XMP
G Skill Intl F4-4000C16-16GVKA 16GB,DDR4,16400,16,DIMM,Dual Channel
G Skill Intl F4-3600C18-16GTZN 16GB,DDR4,16400,16,SO-DIMM,Dual Channel
Kingston KHX2933C17D4/8G 8GB,DDR4,16350,8,SO-DIMM,PC4-1666
Crucial Technology BL16G32C16S4B.M16FE 16GB,DDR4,16300,16,SO-DIMM,Single Rank
Kingston 99U5712-002.A00G 16GB,DDR4,16250,16,SO-DIMM,Unbuffered
Corsair CMT32GX4M2C3000C15 16GB,DDR4,16150,16,SO-DIMM,Dual Channel
Kingston KHX2666C16D4/32GX 32GB,DDR4,16000,32,Dual In-Line Memory Module (DIMM),"1x16GB, x8, CL16"
Crucial Technology BL32G32C16S4B.M16FB1 32GB,DDR4,16000,32,SODIMM,Unbuffered
Kingston KHX2933C17S4/16G 16GB,DDR4,15950,16,SO-DIMM,x8 dual-channel
Corsair CMW32GX4M2Z2933C16 16GB,DDR4,15900,16,SO-DIMM,UDIMM
Samsung M391A2K43BB1-CTD 16GB,DDR4,15850,16,SO-DIMM,PC4-1600
Lenovo 16GB,DDR4,15650,16,UDIMM,Single Channel
Mushkin MRA4S293MMMF32G 32GB,DDR4,15300,32,SO-DIMM,Dual In-Line
G Skill Intl F4-4000C17-16GTRGB 16GB,DDR4,15250,16,UDIM (Unbuffered Dual In-Line Memory Module),XMP (Extreme Memory Profile)
Corsair CMD32GX4M4C3200C14T 8GB,DDR4,15200,8,DIMM,x4
Corsair CMR64GX4M4C3200C16 16GB,DDR4,14950,16,UDIM,Dual Channel
Crucial Technology BLS4G4D26BFSE.8FE 4GB,DDR4,17600,4,DIMM,Unbuffered
Crucial Technology BL8G30C15U4W.8FE 8GB,DDR4,17250,8,SO-DIMM,PC4-1700
Samsung M474A4G43MB1-CTD 32GB,DDR4,17250,32,SO-DIMM,Unbuffered
Essencore Limited IM48GU88A30-FGGHMZ 8GB,DDR4,17100,8,SO-DIMM,
Corsair CMD16GX4M2B3866C18 8GB,DDR4,17000,8,DIMM,Single Rank x 2
G Skill Intl F4-3000C15-4GTZB 4GB,DDR4,16950,4,SO-DIMM,Dual Channel
Corsair CMR16GX4M2C3466C16 8GB,DDR4,16900,8,SO-DIMM,Dual Channel
Corsair CMU32GX4M4C3400C16 8GB,DDR4,16900,8,Dual In-Line Memory Module (DIMM),x4
Kingston KF3600C18D4/32GX 32GB,DDR4,16850,32,UDIMM,x16
Corsair CMK64GX4M4B3466C16 16GB,DDR4,16800,16,DIMM,Dual Channel
G Skill Intl F4-3400C16-8GVK 8GB,DDR4,16700,8,DIMM,Dual Channel
Crucial Technology BL8G32C16U4B.M8FE1 8GB,DDR4,16600,8,SO-DIMM,x16
Wilk Elektronik S.A. IRP3600D4V64L17S/8G 8GB,DDR4,16600,8,SO-DIMM,"Unbuffered, Single Rank"
Kingston KHX2400C15S4/4G 4GB,DDR4,16500,4,SO-DIMM,x4
Golden Empire CL15-17-17 D4-2666 8GB,DDR4,16450,8,SO-DIMM,Dual Channel
Corsair CMW16GX4M1D3000C16 16GB,DDR4,16450,16,DIMM,Dual Inline Memory Module (DIMM)
Avant Technology W642GU42J2320NH 16GB,DDR4,16450,16,UDIMM,Single Rank x8
Corsair CMT32GX4M4C3000C15 8GB,DDR4,16400,8,SO-DIMM,Single Rank
Corsair CMW32GX4M4C3000C15 8GB,DDR4,16400,8,DIMM,x4
G Skill Intl F4-2400C16-16GFT 16GB,DDR4,16350,16,DIMM,Dual Channel
G Skill Intl F4-3200C16-8GTRG 8GB,DDR4,16350,8,DIMM,"Unbuffered, Single-sided"
Crucial Technology BL8G32C16U4RL.M8FE 8GB,DDR4,16300,8,SO-DIMM,Dual Channel
Corsair CMW32GX4M2C3200C16 16GB,DDR4,16300,16,DIMM,Dual Channel
Corsair CMK16GX4M2D3600C18 8GB,DDR4,16300,8,DIMM,Dual Channel
Corsair CMK32GX4M1A2666C16 32GB,DDR4,16200,32,DIMM,Dual Channel
Crucial Technology BL16G26C16U4W.16FE 16GB,DDR4,16200,16,SO-DIMM,PC4-1600
Patriot Memory (PDP Systems) PSD432G32002 32GB,DDR4,16200,32,SO-DIMM,Unbuffered
Corsair CMK16GX4M2Z3600C20 8GB,DDR4,16150,8,DIMM,XMP
Kingston CBD26D4U9D8ME-16 16GB,DDR4,16150,16,UDIMM,Single Rank x8
Corsair CMW64GX4M2D3600C18 32GB,DDR4,16150,32,DIMM,Dual Channel
Apacer Technology GD2.1831WS.002 16GB,DDR4,16100,16,UDIMM,Single Channel
Avant Technology J642GU42J9266N4 16GB,DDR4,16100,16,SO-DIMM,Single Rank
Transcend Information JM2666HSB-16G 16GB,DDR4,16050,16,DIMM,Single Rank
Corsair CMW64GX4M4C3200C16 16GB,DDR4,16000,16,DIMM,Dual Inline Memory Module
SpecTek Incorporated 16G2666CL19 16GB,DDR4,15800,16,SO-DIMM,Dual In-Line Memory Module
Mushkin MRA4S320GJJM16G 16GB,DDR4,15750,16,SO-DIMM,1Rx8
Crucial Technology BLS16G4D26BFSC.16FD 16GB,DDR4,15750,16,SO-DIMM,Dual Channel
Crucial Technology BLE16G4D32AEEA.K16FB 16GB,DDR4,15700,16,SO-DIMM,Single Channel
Kingston KF3200C20S4/16GX 16GB,DDR4,15700,16,SO-DIMM,Dual Channel
G Skill Intl F4-4266C19-8GTZKW 8GB,DDR4,15650,8,SO-DIMM,PC4-1600
Corsair CMK128GX4M4D3600C18 32GB,DDR4,15450,32,UDIM,4x8GB
Corsair CMK64GX4M4B3600C18 16GB,DDR4,15450,16,DIMM,Quad Channel
Kingston CBD32D4S2D8HD-16 16GB,DDR4,15200,16,DIMM,x2
Corsair CMT64GX4M8C3200C16 8GB,DDR4,15000,8,DIMM,Dual In-Line Memory Module
Corsair CMK64GX4M8X4000C19 8GB,DDR4,13650,8,DIMM,"Dual In-Line Memory Module (DIMM), Single Channel"
Corsair CMN16GX4M2Z3200C16 8GB,DDR4,17650,8,DIMM,Dual Channel
Lexar Co Limited LD4BU008G-H3200ULH 8GB,DDR4,17650,8,UDIMM,Single Rank x16
Corsair CMG16GX4M2E3200C16 8GB,DDR4,17400,8,DIMM,Dual Channel
Crucial Technology BL16G30C15U4B.16FE 16GB,DDR4,17350,16,SO-DIMM,Unbuffered Single-Rank
Corsair CMK32GX4M4E4133C19 8GB,DDR4,16900,8,DIMM,Dual Channel
G Skill Intl F4-3000C15-8GVS 8GB,DDR4,16800,8,SO-DIMM,Dual Channel
Crucial Technology BL16G32C16U4B.M8FB1 16GB,DDR4,16800,16,SO-DIMM,x32
Corsair CMR16GX4M2Z3200C16 8GB,DDR4,16700,8,Module,Dual Channel
G Skill Intl F4-3200C16-32GTRG 32GB,DDR4,16650,32,Dual Channel,16-18-18-38-2T
Corsair CMW16GX4M2C3200C16 8GB,DDR4,16600,8,DIMM,XMP
Crucial Technology BL8G30C15U4W.M8FE 8GB,DDR4,16550,8,SO-DIMM,Unbuffered
Golden Empire CL18-22-22 D4-3600 16GB,DDR4,16450,16,UDIMM,Dual Channel
Crucial Technology BLT16G4D30AETA.K16FB 16GB,DDR4,16300,16,SO-DIMM,Dual In-Line
Micron Technology 18ADF2G72AZ-2G3A1 16GB,DDR4,16250,16,UDIMM,Single-Rank
Crucial Technology BL8G32C16U4R.M8FE1 8GB,DDR4,16250,8,SO-DIMM,2x4GB
Kingston 9905744-066.A00G 32GB,DDR4,16250,32,UDIMM,1Rx8
Essencore Limited KD48GS88C-32N2200 8GB,DDR4,16200,8,SO-DIMM (based on the model number and typical usage of this form factor for laptops),Dual Channel
G Skill Intl F4-3000C16-16GRS 16GB,DDR4,16200,16,SO-DIMM,Dual Channel
Silicon Power Computer & Communications SP016GXLZU320BSB 16GB,DDR4,16150,16,SO-DIMM,Dual Channel
Kingston 9905700-046.A00G 16GB,DDR4,16100,16,UDIMM,Single Rank
Corsair CM4B16G2L2666A18K2 16GB,DDR4,16050,16,DIMM,Dual-Channel
Samsung M471A2K43BB1-CTD 16GB,DDR4,15850,16,SO-DIMM,Dual Channel
Corsair CMW128GX4M4D3600C18 32GB,DDR4,15600,32,UDIM,x16
Corsair CMW64GX4M4C3000C15 16GB,DDR4,15500,16,DIMM,Quad Channel
 Crucial Technology CT32G4SFD832A.M16FF 32GB,DDR4,15500,32,SO-DIMM,"Single Rank, x8"
Avant Technology J644GU44J1293NF 32GB,DDR4,14500,32,SO-DIMM,Unbuffered
Corsair CM4S16GL3200K18K2 16GB,DDR4,17700,16,SO-DIMM,Dual Channel
G Skill Intl F4-3600C19-8GSXF 8GB,DDR4,17450,8,SO-DIMM,Dual Channel
Essencore Limited KD48GU880-32A160U 8GB,DDR4,17350,8,SO-DIMM,Dual Channel
Corsair CMK32GX4M4B3733C17 8GB,DDR4,17200,8,DIMM,Dual Channel
Kingston KF3200C16D4/8GX 8GB,DDR4,17100,8,DIMM,PC4-1700
Avant Technology W642GU44J2320NC 16GB,DDR4,17050,16,SO-DIMM,Dual Channel
Corsair CMK8GX4M2B3733C17 4GB,DDR4,17000,4,DIMM,Dual Channel
Crucial Technology CT8G4DFRA32A.M8FR 8GB,DDR4,16950,8,SO-DIMM,Single-Rank x16
Corsair CMW32GX4M4C3466C16 8GB,DDR4,16850,8,DIMM,Dual Channel
Avexir Technologies Corporation DDR4-3200 CL16 4GB 4GB,DDR4,16750,4,SO-DIMM,Dual Channel
G Skill Intl F4-3000C16-8GSXFB 8GB,DDR4,16700,8,SO-DIMM,Unbuffered
